date,region,revenue,orders
2026-07-01,North,12800,112
2026-07-01,South,10400,96
2026-07-01,East,15200,131
2026-07-01,West,8600,78
2026-07-08,North,13600,118
2026-07-08,South,11200,102
2026-07-08,East,14800,127
2026-07-08,West,9400,83
2026-07-15,North,14900,126
2026-07-15,South,11800,106
2026-07-15,East,16100,139
2026-07-15,West,10100,89
2026-07-22,North,15700,132
2026-07-22,South,12600,111
2026-07-22,East,17200,145
2026-07-22,West,10900,94
2026-07-29,North,16600,139
2026-07-29,South,13100,115
2026-07-29,East,18100,151
2026-07-29,West,11600,99

